Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Boating,USA,California,Board involved activity,F,N,Evening,"R. Collier, GSAF",2018.0,Jun
Unprovoked,USA,Georgia,Beach activities,F,N,Afternoon,"K.McMurray, TrackingSharks.com",2018.0,Jun
Invalid,USA,Hawaii,Board involved activity,M,N,Morning,"K.McMurray, TrackingSharks.com",2018.0,Jun
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,,"B. Myatt, GSAF",2018.0,Jun
Provoked,MEXICO,Colima,Diving activities,M,N,,A .Kipper,2018.0,Jun
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,,"Daily Telegraph, 6/4/2018",2018.0,Jun
Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Y,Afternoon,"Diario de Pernambuco, 6/4/2018",2018.0,Jun
Unprovoked,USA,Florida,Fishing related,M,N,,"K. McMurray, TrackingSharks.com",2018.0,May
Unprovoked,USA,Florida,Beach activities,M,N,Afternoon,"K.McMurray, TrackingSharks.com",2018.0,May
Unprovoked,USA,Florida,Beach activities,M,N,Afternoon,"K. McMurray, Tracking Sharks.com",2018.0,May
Provoked,AUSTRALIA,Queensland,Consequence of handeling sharks,M,N,Morning,"ABC.net.au ,05/24/2018",2018.0,May
Unprovoked,USA,South Carolina,Board involved activity,M,N,,"C. Creswell, GSAF",2018.0,May
Unprovoked,USA,South Carolina,Swimming related,M,N,Afternoon,"C. Creswell, GSAF & K. McMurray TrackingSharks.com",2018.0,May
Invalid,ENGLAND,Cornwall,Fishing related,M,N,Morning,"K. McMurray, TrackingSharks.com",2018.0,May
Provoked,AUSTRALIA,Westerm Australia,Consequence of handeling sharks,F,N,,"Perth Now, 6/30/2018",2018.0,
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,N,Morning,"B.Jacob, Dispatch Live, 5/12/2018",2018.0,May
Questionable,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2018.0,May
Unprovoked,THAILAND,Hua Hin,Swimming related,M,N,,"K. McMurray, TrackingSharks.com",2018.0,Apr
Unprovoked,COSTA RICA,Cocos Island,Diving activities,M,N,Morning,Costa Rica Star. 4/28/2018,2018.0,Apr
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Afternoon,"B. Myatt, GSAF",2018.0,Apr
Questionable,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2018.0,Apr
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Morning,"B.Myatt, GSAF",2018.0,Apr
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Afternoon,"B. Myatt, GSAF",2018.0,Apr
Unprovoked,MALDIVES,Alifu Alifu Atoll,Fishing related,M,N,Evening,"K. McMurray, TrackingSharks.com",2018.0,Apr
Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,N,Morning,"Africa News Agency, 4/22/2018",2018.0,Apr
Unprovoked,USA,Hawaii,Board involved activity,M,N,,"The Garden Island, 4/19/2018",2018.0,Apr
Unprovoked,THAILAND,Hua Hin,Swimming related,M,N,,"Straits Times, 4/16/2018",2018.0,Apr
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,,"B.Myatt, GSAF",2018.0,Apr
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Morning,"B.Myatt, GSAF",2018.0,Apr
Unprovoked,BAHAMAS,New Providence,Board involved activity,M,N,Morning,"Tribune242,",2018.0,Apr
Invalid,BRAZIL,Alagoas,Fishing related,M,N,,"K. McMurray, TrackingSharks.com",2018.0,Apr
Unprovoked,BAHAMAS,,Swimming related,M,N,Evening,"K. McMurray, TrackingSharks.com",2018.0,Apr
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,N,Afternoon,"K. McMurray, TrackingSharks.com",2018.0,Apr
Unprovoked,USA,Hawaii,Board involved activity,M,N,Morning,"Khon2, 3/31/2018",2018.0,Mar
Unprovoked,AUSTRALIA,Western Australia,Beach activities,M,N,Afternoon,"B. Myatt, GSAF",2018.0,Mar
Unprovoked,AUSTRALIA,Victoria,Swimming related,M,N,Afternoon,"B. Myatt, GSAF",2018.0,Mar
Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2018.0,Mar
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Diving activities,M,N,,"International Business Times, 3/1/2018",2018.0,Feb
Unprovoked,AUSTRALIA,New South Wales,Swimming related,F,N,Evening,"B. Myatt, GSAF",2018.0,Feb
Provoked,AUSTRALIA,Victoria,Fishing related,M,N,Nightime,"B. Myatt, GSAF",2018.0,Feb
Unprovoked,AUSTRALIA,New South Wales,Beach activities,M,N,Afternoon,"B. Myatt, GSAF",2018.0,Feb
Invalid,AUSTRALIA,Queensland,Swimming related,F,N,Evening,"Sunshine Coast Daily, 2/15/2018",2018.0,Feb
Invalid,BRAZIL,"Boi Island, Victoria",Fishing related,F,N,,TrackingSharks.com,2018.0,Feb
Unprovoked,ECUADOR,Galapagos Islands,"Other random, unclassifiable or silly activities",M,N,,"The Standard (UK), 2/6/2018",2018.0,Feb
Invalid,AUSTRALIA,Western Australia,Fishing related,M,N,,"The West Australian, 2/2/2018",2018.0,Feb
Unprovoked,AUSTRALIA,Western Australia,,M,N,Morning,"ABC.net.au, 01/28/2018",2018.0,Jan
Unprovoked,NEW CALEDONIA,,Fishing related,M,N,Afternoon,TrackingSharks.com,2018.0,Jan
Unprovoked,AUSTRALIA,Queensland,Diving activities,M,N,Afternoon,"B. Myatt, GSAF",2018.0,Jan
Unprovoked,AUSTRALIA,New South Wales,Diving activities,M,N,,"B. Myatt, GSAF",2018.0,Jan
Unprovoked,BRAZIL,Fernando de Noronha,Board involved activity,M,N,Afternoon,TrackingSharks.com,2018.0,Jan
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,,"Perth Now, 1/6/2018",2018.0,Jan
Unprovoked,USA,Hawaii,Board involved activity,F,N,Evening,"J. Howard, Surfling Now, 1/2/2018",2017.0,Dec
Unprovoked,USA,California,Board involved activity,F,N,Afternoon,R. Collier,2017.0,Dec
Provoked,MALAYSIA,Sepang,Fishing related,M,N,,TrackingSharks.com,2017.0,Dec
Unprovoked,COSTA RICA,Cocos Island,Diving activities,M,N,,R. Arauz,2017.0,Nov
Unprovoked,COSTA RICA,Cocos Island,Diving activities,F,Y,,R. Arauz,2017.0,Nov
Unprovoked,USA,California,Fishing related,M,N,Afternoon,"R. Collier, GSAF",2017.0,Nov
Unprovoked,USA,Florida,Board involved activity,F,N,Afternoon,"Florida Today, 11/21/2017",2017.0,Nov
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Afternoon,"B. Myatt, GSAF",2017.0,Nov
Unprovoked,CUBA,Holquin Province,Beach activities,M,Y,Nightime,TrackingSharks.com,2017.0,Nov
Unprovoked,AUSTRALIA,Queensland,"Other random, unclassifiable or silly activities",M,N,,"Townsville Bulletin, 10/31/2017",2017.0,Oct
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2017.0,Oct
Unprovoked,USA,Hawaii,Board involved activity,M,N,Afternoon,"Hawaii News Now, 10/27/2017",2017.0,Oct
Unprovoked,MAURITIUS,Pamplemousses ,Swimming related,M,N,Afternoon,"J. LeBlanc, GSAF",2017.0,Oct
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"WPBF News, 10/24/2017",2017.0,Oct
Unprovoked,USA,Florida,Swimming related,F,N,Morning,"Palm Beach Post, 11/1/2017",2017.0,Oct
Unprovoked,AUSTRALIA,South Australia,Fishing related,F,N,Afternoon,"Nine News, 10/22/2017",2017.0,Oct
Unprovoked,NEW ZEALAND,North Island,"Other random, unclassifiable or silly activities",M,N,Morning,"New Zealand Herald, 10/22/2017",2017.0,Oct
Unprovoked,USA,Florida,Swimming related,M,N,Afternoon,"WPTV, 10/19/2017",2017.0,Oct
Unprovoked,USA,Hawaii,Board involved activity,M,N,Evening,"Hawaii News Now, 10/10/2017",2017.0,Oct
Unprovoked,USA,Hawaii,"Other random, unclassifiable or silly activities",F,N,Afternoon,"Maui Now, 10/5/2017",2017.0,Oct
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"News4Jax, 9/26/2017",2017.0,Sep
Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,N,Evening,"Stab Magazine, 9/26/2017",2017.0,Sep
Invalid,USA,New York,Board involved activity,M,,Afternoon,"S. Curatolo-Wageman, GSAF",2017.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"Sun Sentinel, 9/24/2017",2017.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"WPTV, 9/25/2017",2017.0,Sep
Unprovoked,SPAIN,Canary Islands,Board involved activity,M,N,,Turismo La Aldea,2017.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Afternoon,"Orlando Sentinel, 9/16/2017",2017.0,Sep
Invalid,SOUTH AFRICA,Western Cape Province,Diving activities,M,,Afternoon,"Ground Up, 9/20/2017",2017.0,Sep
,SAMOA, Upolu Island,Fishing related,M,N,Nightime,"Samoa Observer, 9/16/2017",2017.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Evening,"TrackingSharks.com, 10/22/2017",2017.0,Sep
Unprovoked,AUSTRALIA,Westerm Australia,Swimming related,M,N,Afternoon,"West Australian, 9/11/2017",2017.0,Sep
Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2017.0,Sep
Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming related,M,Y,Morning,"All Africa, 10/11/2017",2017.0,Sep
Unprovoked,JAPAN,Shizuoka Prefecture,Board involved activity,M,N,Morning,"Japan Today, 9/4/2017",2017.0,Sep
Unprovoked,USA,Florida,Swimming related,M,N,,NewsFlare,2017.0,Sep
Unprovoked,USA,Texas,Swimming related,F,N,,"Brownsville Herald, 9/5/2017",2017.0,Sep
Unprovoked,USA,Florida,Board involved activity,M,N,Morning,"Click Orlando, 9/2/2017",2017.0,Sep
Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,N,Morning,"B. Myatt, GSAF",2017.0,Aug
Unprovoked,USA,Florida,Beach activities,F,N,Afternoon,"Sun Sentinel, 8/27/2017",2017.0,Aug
Invalid,SPAIN,Castellón,Swimming related,F,,Afternoon,"El Periodico Mediterraneo, 8/27/2017",2017.0,Aug
Unprovoked,NEW ZEALAND,North Island,"Other random, unclassifiable or silly activities",M,N,,"C.Black, GSAF",2017.0,Aug
Unprovoked,USA,Massachusetts,"Other random, unclassifiable or silly activities",M,N,Morning,"Cape Cod Times, 8/23/2017",2017.0,Aug
Unprovoked,BAHAMAS,,Fishing related,M,N,Afternoon,"CBS12, 8/18/2017",2017.0,Aug
Unprovoked,USA,South Carolina,Swimming related,M,N,Afternoon,"C. Creswell, GSAF",2017.0,Aug
Unprovoked,EGYPT,Red Sea Protectorate,"Other random, unclassifiable or silly activities",F,N,,"Egyptian government, 8/5/2017",2017.0,Aug
Provoked,USA,Massachusetts,Fishing related,M,N,Nightime,"MassLive, 8/4/2017",2017.0,Aug
Boating,USA,California,Fishing related,M,N,Morning,"R. Collier, GSAF",2017.0,Aug
Unprovoked,USA,Florida,Board involved activity,M,N,Evening,"K. McMurray, Tracking Sharks",2017.0,Jul
