Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,16h00,"B. Myatt, GSAF",2017,Nov
Unprovoked,CUBA,Holquin Province,Night bathing,M,Y,23h30,TrackingSharks.com,2017,Nov
Unprovoked,AUSTRALIA,Queensland,Snorkeling,M,N,,"Townsville Bulletin, 10/31/2017",2017,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,09h00,"B. Myatt, GSAF",2017,Oct
Unprovoked,USA,Hawaii,Stand-Up Paddleboarding,M,N,15h00,"Hawaii News Now, 10/27/2017",2017,Oct
Unprovoked,MAURITIUS,Pamplemousses ,Swimming,M,N,Afternoon,"J. LeBlanc, GSAF",2017,Oct
Unprovoked,USA,Florida,Surfing ,M,N,17h00,"WPBF News, 10/24/2017",2017,Oct
Unprovoked,USA,Florida,Swimming,F,N,08h00,"Palm Beach Post, 11/1/2017",2017,Oct
Unprovoked,AUSTRALIA,South Australia,Kayaking / Fishing,F,N,Afternoon,"Nine News, 10/22/2017",2017,Oct
Unprovoked,NEW ZEALAND,North Island,Kayaking,M,N,09h00,"New Zealand Herald, 10/22/2017",2017,Oct
Unprovoked,USA,Florida,Swimming,M,N,14h30,"WPTV, 10/19/2017",2017,Oct
Unprovoked,USA,Hawaii,Surfing,M,N,18h30,"Hawaii News Now, 10/10/2017",2017,Oct
Unprovoked,USA,Hawaii,Snorkeling,F,N,12h30,"Maui Now, 10/5/2017",2017,Oct
Unprovoked,USA,Florida,Surfing,M,N,Morning,"News4Jax, 9/26/2017",2017,Sep
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,18h00,"Stab Magazine, 9/26/2017",2017,Sep
Invalid,USA,New York,Surfing,M,,15h30,"S. Curatolo-Wageman, GSAF",2017,Sep
Unprovoked,USA,Florida,Surfing,M,N,14h00,"Sun Sentinel, 9/24/2017",2017,Sep
Unprovoked,USA,Florida,Surfing,M,N,Morning,"WPTV, 9/25/2017",2017,Sep
Unprovoked,SPAIN,Canary Islands,Body surfing,M,N,,Turismo La Aldea,2017,Sep
Unprovoked,USA,Florida,Surfing,M,N,16h30,"Orlando Sentinel, 9/16/2017",2017,Sep
Invalid,SOUTH AFRICA,Western Cape Province,Scuba Diving,M,,Afternoon,"Ground Up, 9/20/2017",2017,Sep
,SAMOA, Upolu Island,Fishing,M,N,Night,"Samoa Observer, 9/16/2017",2017,Sep
Unprovoked,USA,Florida,Surfing,M,N,18h45,"TrackingSharks.com, 10/22/2017",2017,Sep
Unprovoked,AUSTRALIA,Westerm Australia,Swimming,M,N,15h00,"West Australian, 9/11/2017",2017,Sep
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,06h00,"B. Myatt, GSAF",2017,Sep
Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching abalone",M,Y,Morning,"All Africa, 10/11/2017",2017,Sep
Unprovoked,JAPAN,Shizuoka Prefecture,Surfing,M,N,10h00,"Japan Today, 9/4/2017",2017,Sep
Unprovoked,USA,Florida,Swimming,M,N,,NewsFlare,2017,Sep
Unprovoked,USA,Texas,Swimming,F,N,,"Brownsville Herald, 9/5/2017",2017,Sep
Unprovoked,USA,Florida,Surfing,M,N,10h44,"Click Orlando, 9/2/2017",2017,Sep
Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,10h30,"B. Myatt, GSAF",2017,Aug
Unprovoked,USA,Florida,Wading,F,N,13h19,"Sun Sentinel, 8/27/2017",2017,Aug
Invalid,SPAIN,Castellón,Swimming,F,,Midday,"El Periodico Mediterraneo, 8/27/2017",2017,Aug
Unprovoked,NEW ZEALAND,North Island,Canoeing,M,N,,"C.Black, GSAF",2017,Aug
Unprovoked,USA,Massachusetts,SUP,M,N,10h00,"Cape Cod Times, 8/23/2017",2017,Aug
Unprovoked,BAHAMAS,,Spearfishing,M,N,15h00,"CBS12, 8/18/2017",2017,Aug
Unprovoked,USA,South Carolina,Swimming,M,N,13h30,"C. Creswell, GSAF",2017,Aug
Unprovoked,EGYPT,Red Sea Protectorate,Snorkeling,F,N,,"Egyptian government, 8/5/2017",2017,Aug
Provoked,USA,Massachusetts,Fishing,M,N,23h30,"MassLive, 8/4/2017",2017,Aug
Boating,USA,California,Kayaking / Fishing,M,N,10h45,"R. Collier, GSAF",2017,Aug
Unprovoked,USA,Florida,Skimboarding,M,N,18h30,"K. McMurray, Tracking Sharks",2017,Jul
Invalid,USA,South Carolina,Swimming,M,,15h00,"C. Creswell, GSAF",2017,Jul
Unprovoked,USA,South Carolina,,F,N,Afternoon,"C. Creswell, GSAF",2017,Jul
Unprovoked,BAHAMAS,New Providence District,Snorkeling,F,N,,"R. Rolle, Tribune 242,  7/28/2017",2017,Jul
Unprovoked,BAHAMAS,40 miles off Grand Bahama Island,Spearfishing,M,N,,"RevistaJaraysedal.es, 7/26/2017",2017,Jul
Unprovoked,"ST HELENA, British overseas territory",Ascension Island,Surfing,M,N,17h00,"Telegraph UK, 7/28/2017",2017,Jul
Unprovoked,SPAIN,Majorca,Swimming,F,N,Afternoon,"Daily Record, 7/24/2017",2017,Jul
Unprovoked,USA,Florida,,F,N,12h30,"NBC Miami, 7/23/2017",2017,Jul
Boating,USA,California,Kayaking,M,N,11h20,"R. Collier, GSAF",2017,Jul
Unprovoked,USA,California,SUP,M,N,07h45,"R. Collier, GSAF",2017,Jul
Unprovoked,USA,Washington,Surfing,M,N,18h30,"R. Collier, GSAF",2017,Jul
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,11h45,,2017,Jul
Boating,USA,California,Kayaking,M,N,11h00,"R. Collier, GSAF",2017,Jul
Unprovoked,USA,Florida,Swimming,M,N,15h30,"Miami-Beach Patch, 7/9/2017",2017,Jul
Provoked,MEXICO,Tabasco,Fishing,M,N,,"Tabasco Hoy, 7/7/2017",2017,Jul
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,F,N,15h00,"Dispatch Live, 7/7/2027",2017,Jul
Invalid,USA,South Carolina,Fishing,M,,19h30,"C. Creswell, GSAF",2017,Jun
Unprovoked,USA,South Carolina,Swimming,F,N,,"C. Creswell, GSAF",2017,Jun
Unprovoked,USA,Florida,Surfing,M,N,Morning,"CBS12, 6/19/2017",2017,Jun
Unprovoked,USA,South Carolina,Swimming,F,N,,"C. Creswell, GSAF",2017,Jun
Unprovoked,REUNION,,Body boarding,M,N,10h00,"Clincanoo, 6/19/2017",2017,Jun
Unprovoked,SPAIN,Ibiza Island,Swimming,M,N,12h00,"Diario de Ibiza, 6/17/'2017",2017,Jun
Unprovoked,FRENCH POLYNESIA,Marquesas,Surfing,M,N,,"Tahiti Infos, 6/6/2017",2017,
Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,N,08h30,"WA Today, 6/11/2017",2017,Jun
Unprovoked,AUSTRALIA,Victoria,Surfing,F,N,15h45,Victoria Shark Reports,2017,Jun
Unprovoked,USA,Florida,Surfing,M,N,10h00,"Daytona Beach News-Journal, 6/10/2017",2017,Jun
Unprovoked,UNITED KINGDOM,South Devon,Surfing ,M,N,,"C. Moore, GSAF",2017,Jun
Unprovoked,USA,Florida,Spearfishing,M,N,,"Nine News, 6/7/2017",2017,Jun
Unprovoked,BAHAMAS,New Providence ,Snorkeling,F,N,Shortly before 12h00,"Tribune 242, 6/2/2017",2017,Jun
Provoked,USA,South Carolina,Touching a shark,F,N,,"C. Creswell, GSAF",2017,May
Unprovoked,USA,Florida,Feeding sharks,M,N,Morning,"M. Michaelson, GSAF",2017,May
Invalid,AUSTRALIA,New South Wales,Fishing ,M,N,,"B. Myatt, GSAF",2017,May
Unprovoked,UNITED ARAB EMIRATES,"Sharjah, ",Spearfishing,M,N,Morning,"Gulf News, 5/13/2017",2017,May
