Type,Country,Area,Activity,Sex,Fatal (Y/N),Time,Investigator or Source,Year,Month
Boating,ATLANTIC OCEAN,300 miles from Antigua,Competing in the Woodvale Atlantic Rowing Race,M,N,,"N. Bevan, icwales.icnetwork.co.uk, 1/28/2006",2006,Jan
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Spearfishing,M,N,14h00,"Geremy Cliff, NSB",2006,Jan
Boating,ATLANTIC OCEAN,800 miles from land,Competing in the Woodvale Atlantic Rowing Race,F,N,,"Northants News, 1/25/2006",2006,Jan
Unprovoked,USA,California,Night Surfing,M,N,22h30,R. Collier,2006,Jan
Unprovoked,AUSTRALIA,Western Australia,Scuba diving,M,N,11h00,"T. Peake, GSAF",2006,Jan
Invalid,BAHAMAS,Grand Bahama Island,Diving for lobsters,M,,Morning,"Bahama Journal, 1/13/2006",2006,Jan
Unprovoked,AUSTRALIA,Queensland,Swimming,F,Y,17h15,"T. Peake, GSAF",2006,Jan
Unprovoked,USA,Florida,Surfing,M,N,16h45,"A. Neal, scripps.com",2006,Jan
Unprovoked,SOUTH AFRICA,Western Cape Province,Diving for crayfish,M,N,,"J.P. Botha, GSAF",2006,Jan
Unprovoked,USA,Oregon,Surfing,M,N,12h00,"R. Collier, GSAF; L.A. Times, 12/25/2005",2005,Dec
Unprovoked,USA,Hawaii,Swimming,M,N,11h45, San Francisco Gate 2/21/2005,2005,Dec
Boating,ATLANTIC OCEAN,600 nm west of the Canary Islands,Competing in the Woodvale Atlantic Rowing Race,,N,13h30,"R.D. Weeks, GSAF; NZ Herald, 12/21/2005",2005,Dec
Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,N,11h00,"Courier-Mail, 12/12/2005",2005,Dec
Boat,AUSTRALIA,South Australia,Fishing,,N,15h30,"Melbourne Herald Sun, 12/5/2005",2005,Dec
Unprovoked,USA,Florida,Surfing,M,N,,wpmi.com,2005,Nov
Unprovoked,USA,Florida,Surfing,M,N,13h00,"S. Petersohn, GSAF",2005,Nov
Unprovoked,AUSTRALIA,Victoria,Surfing,M,N,18h00,"Sydney Morning Herald, 11/25/2005",2005,Nov
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,11h30,Dispatch online,2005,Nov
Unprovoked,NEW CALEDONIA,Loyalty Islands,Spearfishing,,N,20h30,"Les Nouvelles Caledoniennes, 11/29/2005",2005,Nov
Unprovoked,USA,Florida,Surfing,M,N,Afternoon,Stuart News,2005,Nov
Unprovoked,USA,Florida,Surfing,M,N,14h30,"S. Petersohn, GSAF",2005,Nov
Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing for sharks,M,N,14h00,J. Visser,2005,Nov
Unprovoked,USA,Florida,Surfing,M,N,13h00,"S. Petersohn, GSAF",2005,Nov
Unprovoked,USA,California,Surfing,M,N,16h45,"R. Collier, GSAF",2005,Nov
Unprovoked,USA,California,Surfing,M,N,07h15,"R. Collier, GSAF",2005,Nov
Unprovoked,USA,Florida,Wading,M,N,,"Sentinel, 1-/30/2005",2005,Oct
Unprovoked,ST. MAARTIN,Simpson Bay,Standing,M,N,08h00,"M. Levine, GSAF",2005,Oct
Unprovoked,SOUTH AFRICA,Western Cape Province,Standing / Surfing,M,N,Morning,Cape Times,2005,Oct
Unprovoked,USA,California,Surfing,M,N,11h00,"R. Collier, GSAF",2005,Oct
Unprovoked,USA,California,Surfing,F,N,10h30,"R. Collier, GSAF; Bay City Newswire",2005,Oct
Provoked,USA,Florida,Wading,M,N,17h55,"S. Petersohn, GSAF; Florida Today, 10/16/2005 ",2005,Oct
Unprovoked,USA,Hawaii,Surfing,M,N,18h00,Hawaii Department of Land and Natural Resources,2005,Oct
Unprovoked,GRAND CAYMAN,East Wall,Scuba diving,F,N,15h00,"L.A.Hughes; G. Holt, Scubaradio.com",2005,Oct
Unprovoked,USA,Florida,Treading water/ Surfing,M,N,16h05,"S. Petersohn, GSAF",2005,Oct
Unprovoked,BAHAMAS,Abaco Islands,Diving,M,N,,"E. Ritter, GSAF; A. Armbrister, Freeport News, 10/3/2005",2005,Oct
Unprovoked,SOUTH AFRICA,Western Cape Province,Surf-skiing,M,N,15h00,"Cape Argus, Cape Times, 10/3/2005",2005,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,,"Macleay Argues, 9/27/2005",2005,Sep
Unprovoked,AUSTRALIA,South Australia,Surfing,M,N,12h05,"T. Peake, GSAF",2005,Sep
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,Morning,"T. Peake, GSAF",2005,Sep
Invalid,USA,Florida,Surfing,M,,07h30,"A. Galabinski, Marco Island Sun Times, 9/22/2005",2005,Sep
Unprovoked,USA,South Carolina,Body surfing,F,N,16h30,"C. Creswell, GSAF; K. Galliard,  Sun News, 9/21/2005",2005,Sep
Unprovoked,USA,South Carolina,Surfing,M,Y,14h00,"Post & Courier, 9/12/2005",2005,Sep
Unprovoked,AUSTRALIA,New South Wales,Standing,M,N,Dusk,"Sydney Morning Herald, 9/9/2005",2005,Sep
Unprovoked,USA,North Carolina,Wading,F,N,15h20,"Clay Creswell, GSAF",2005,Sep
Unprovoked,AUSTRALIA,South Australia,Surfing,M,N,15h00,"C.Jenkin, Courier-Mail, 9/5/2005",2005,Sep
Unprovoked,USA,Florida,Standing / Surfing,M,N,11h10,"S. Petersohn, GSAF",2005,Sep
Unprovoked,AUSTRALIA,South Australia,Scuba diving,M,Y,16h10,"Adelaide Advertiser, 8/26/2005",2005,Aug
Unprovoked,USA,California,Surfing,M,N,11h00,"R. Collier, GSAF                ",2005,Aug
Invalid,USA,South Carolina,"Boogie boarding, kicked at object in the water",M,,Afternoon,"Clay Creswell, GSAF",2005,Aug
Unprovoked,USA,South Carolina,Swimming,M,N,Morning,"Clay Creswell, GSAF",2005,Aug
Unprovoked,USA,Texas,Walking,M,N,20h00,"Clay Creswell, GSAF; Houston Chronicle, 8/20/2005",2005,Aug
Unprovoked,USA,North Carolina,Surfing,M,N,11h30,"C. Creswell, GSAF",2005,Aug
Unprovoked,USA,South Carolina,Swimming,M,N,09h45,"C. Creswell, GSAF",2005,Aug
Unprovoked,USA,Florida,Wading,F,N,18h00,"D. Salamone, GSAF",2005,Jul
Unprovoked,USA,Florida,Surfing,M,N,11h30,"D. Salamone, GSAF",2005,Jul
Invalid,USA,Florida,Surfing,M,,11h15,"D. Salamone, GSAF",2005,Jul
Provoked,CHINA,Shanghai,Scuba diving in aquarium tank,M,N,,"Shanghai Star, 7/21/2005",2005,Jul
Unprovoked,USA,North Carolina,Swimming,M,N,16h40,"C. Creswell, GSAF",2005,Jul
Unprovoked,USA,Texas,Holding onto an inflatable boat,F,N,13h00,"C. Creswell, GSAF",2005,Jul
Unprovoked,USA,Florida,Standing,M,N,11h30,"E. Ritter, GSAF",2005,Jul
Unprovoked,USA,Florida,Fishing,M,N,11h30,"E. Ritter, GSAF",2005,Jun
Unprovoked,USA,Florida,Swimming with boogie board,F,Y,11h15,"E. Ritter, GSAF",2005,Jun
Unprovoked,VANUATU,Malampa Province,Swimming,F,Y,Afternoon,"R.D. Weeks, GSAF; New Zealand Herald, 6/23/2005",2005,Jun
Unprovoked,MEXICO ,Baja California,Surfing,M,N,07h00,http://www.signonsandiego.com/news/mexico/20050622-1621-mexico-sharkattack.html,2005,Jun
Invalid,USA,Hawaii,Swimming,M,,08h00,www.mauinews.com,2005,Jun
Unprovoked,USA,Florida,Swimming,M,N,Afternoon,Local6.com,2005,Jun
Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Diving,F,N,,"Korea Times, 6/13/2005 ",2005,Jun
Unprovoked,USA,South Carolina,Boogie boarding,F,N,11h30 ,"C. Creswell, GSAF;  N. Kenney, NewsChannel 19",2005,Jun
Invalid,USA,New Jersey,Surfing,M,,11h00,"Mr. Horton; R. Collier,  R. Fernicola; M. Levine, E. Ritter, GSAF ",2005,Jun
Unprovoked,SOUTH AFRICA,Western Cape Province,Spearfishing (Free diving),M,Y,15h45,News24.com; SABC; H. Steele,2005,Jun
Unprovoked,USA,Texas,Wading,M,N,Morning,KRIS6 News,2005,Jun
Unprovoked,USA,Florida,Swimming,M,N,17h30,"Daytona Beach News Journal, 5/29/2005; Orlando Sentinel, 5/30/2005, p.B3",2005,May
Unprovoked,USA,Florida,Crouching in 2' of water,F,N,18h30,"D.Wilhoit, The Ledger, 5/29/ 2005",2005,May
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,11h00,"C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News",2005,May
Unprovoked,AUSTRALIA,Queensland,Spearfishing,M ,N,,"J. Anderson, Townsville Bulletin, 5/21/2005 ",2005,May
Boating,USA,Hawaii,Kayaking,,N,11h00,Hawaii Department of Land and Natural Resources,2005,May
Sea Disaster,USA,South Carolina,Sea Disaster,M,N,,"Gaffney Ledger, 5/2/2005",2005,May
Unprovoked,USA,Hawaii,Surfing,M,N,10h30,"T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 ",2005,May
Provoked,AUSTRALIA,New South Wales,Fishing,M,N,23h00,"Brisbane Courier Mail, 4/26/2005",2005,Apr
Unprovoked,AUSTRALIA,Northern Territory,Spearfishing,M,N,,"G. McLean, Northern Territory News; Sunday Territorian, 4/17/2005, p.6",2005,Apr
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,06h10,The Sun; Illwarra Mercury; Yahoo News,2005,Apr
Unprovoked,USA,Florida,Wading,F,N,,Herald Tribune.com,2005,Apr
Unprovoked,USA,Texas,Surfing,M,N,19h00,"G. Ferrario; J. Mendoza, Cameron County Parks; The Herald (Brownsville),  4/11/2005",2005,Apr
Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,N,09h45,"ITN, 3/30/2005",2005,Mar
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,,"Sunday Age, 3/27/2005",2005,Mar
Unprovoked,VENEZUELA,,Surfing,M,N,17h30,"A. Brenneka, GSAF",2005,Mar
Unprovoked,AUSTRALIA,Western Australia,Snorkeling,M,Y,14h00,"T. Peake, GSAF",2005,Mar
Provoked,USA,New Mexico,Diving in aquarium display tank,M,N,15h30,"H. Casman; T. Dukart, KOBTV",2005,Mar
Provoked,NEW ZEALAND,North Island,Fishing,M,N,14h00,"R.D. Weeks, GSAF",2005,Mar
Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,Diving,M,N,,"Solomon Star, 3/9/2005",2005,Mar
Unprovoked,AUSTRALIA,Queensland,Swimming,M,N,,Queensland Times,2005,Feb
Provoked,USA,Florida,Spearfishing,M,N,,http://www.foldabikes.com/CurrentEvents/Story/Florida.html,2005,Feb
Unprovoked,USA,Hawaii,Surfing,M,N,14h30," R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 ",2005,Feb
Unprovoked,USA,Florida,Spearfishing,M,N,,J. Herrera,2005,Feb
Unprovoked,BRAZIL,Bahia,Surfing,M,N,,"Orlando Sentinel, 2/5/2005, p.A6",2005,Feb
Unprovoked,CUBA,Santiago de Cuba Province,Swimming,M,N,,Cuba News,2005,Jan
Provoked,AUSTRALIA,Victoria,Spearfishing,M,N,,Herald Sun News,2005,Jan
Provoked,AUSTRALIA,Victoria,Attempting to drive shark away from sailing regatta,,N,14h00,Herald Sun News,2005,Jan
Boating,NEW ZEALAND,North Island,Fishing from a kayak,M,N,12h00,"R. Collier & R.D. Weeks, GSAF                ",2005,Jan
Unprovoked,AUSTRALIA,South Australia,Scurfing (surfboard being  towed behind a boat),M,Y,15h15,"P. Kemp & T. Peake, GSAF",2004,Dec
Unprovoked,AUSTRALIA,Queensland,Spearfishing,M,Y,13h00,"Weekend Australian, 2/17/2005, et al.",2004,Dec
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,18h00,J. Eager,2004,Nov
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Playing,M,N,,J. Eager,2004,Nov
Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming,F,Y,07h00,"J.P. Botha, GSAF",2004,Nov
Unprovoked,USA,California,Surfing,lli,N,13h30,"R. Collier, GSAF                ",2004,Nov
Unprovoked,VANUATU,Malampa Province,Snorkeling,M,N,09h00,"R. Harris, M.D., T. Peake, GSAF",2004,Nov
Unprovoked,CUBA,Camaguey Province,Diving,M,N,14h00,"E. Ritter, GSAF",2004,Oct
Unprovoked,SOUTH AFRICA,Western Cape Province,Chumming for white sharks,M,N,Morning,"J.P. Botha, GSAF",2004,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,Afternoon,"The Border Mail, 10/23/2004",2004,Oct
Unprovoked,USA,California,Surfing,M,N,09h30,"R. Collier, GSAF",2004,Oct
Unprovoked,USA,Hawaii,Spearfishing,M,N,12h40,"The Maui News, 10/10/2004 ",2004,Oct
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,Morning,"Sunday Argus, 10/10/2004; W. Steenkamp, Cape Times 10/9/2004",2004,Oct
Unprovoked,REUNION,Conservatória District,Body boarding,M,N,16h15,Federation Francaise de Surf,2004,Oct
Unprovoked,USA,California,Surfing,M,N,15h30,"R. Collier, GSAF",2004,Oct
Unprovoked,USA,California,Surfing,M,N,14h00,"R. Collier, GSAF",2004,Oct
Boat,AUSTRALIA,Queensland,Spearfishing/ filming,,N,12h00,"R. Collier, GSAF",2004,Sep
Unprovoked,USA,Oregon,Surfing,M,N,09h00,"S. Mead, R. Collier, J. Eager, B. Middleton",2004,Sep
Invalid,USA,Texas,Surf fishing,M,,Between 05h00 and 08h00,M. Shields,2004,Sep
Unprovoked,USA,South Carolina ,Jumping,F,N,15h40,"C. Creswell, GSAF",2004,Sep
Unprovoked,USA,Florida,Walking,F,N,17h30,"T. Jerome, GSAF; Daytona Beach News Journal, 8/31/2004",2004,Aug
Unprovoked,BRAZIL,Pernambuco,Bathing,M,N,13h00,"P. M. Lopes, GSAF, 8/22/2004",2004,Aug
Unprovoked,USA,California,Surfing,M,N,17h30,"R. Collier, GSAF",2004,Aug
Unprovoked,USA,California,Diving,M,Y,16h00,"R. Collier & L. Levine, GSAF",2004,Aug
Unprovoked,USA,Florida,Swimming,M,N,20h30,"T. Jerome, GSAF",2004,Aug
Unprovoked,AUSTRALIA,New South Wales,Spearfishing,M,N,14h00,"T. Peake, GSAF",2004,Aug
Unprovoked,USA,Florida,Surfing,F,N,13h00,"C. Creswell, GSAF",2004,Jul
Unprovoked,RUSSIA,Kuril Islands in the Pacific,Diving & fishing with net,M,N,,"M. Gozum & J. Eager, scubaradio.com",2004,Jul
Unprovoked,USA,North Carolina,Surfing,F,N,17h30,"C.Delneo, C. Creswell, M. Levine, R. Collier, GSAF",2004,Jul
Unprovoked,USA,North Carolina,Swimming,F,N,17h00,"C. Creswell, GSAF",2004,Jul
Unprovoked,USA,Texas,Swimming,F,N,16h30,KETK56 News,2004,Jul
Unprovoked,USA,Texas,Wading / fishing & carrying a bag of fish,M,N,19h30,KRISTV.com,2004,Jul
Unprovoked,JAPAN,Wakayama Prefecture,Fishing for squid aboard the trawler Shikishima-Maru when the shark leapt into the boat,M,N,,"Mainichi Shimbun, 7/17/2004 ",2004,Jul
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,Y,14h10,"T. Peake, GSAF",2004,Jul
Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,F,N,,"E. Ritter, GSAF; iwindsurf.co.uk",2004,Jul
Unprovoked,USA,Alabama,Wading,M,N,16h40,"C. Creswell, GSAF",2004,Jul
Unprovoked,USA,California,Surfing,M,N,09h00,R. Collier; GSAF,2004,Jun
Unprovoked,USA,Florida,In water with diving seabirds,F,N,,Global Lifeguards,2004,Jun
Unprovoked,AUSTRALIA,Western Australia,Body boarding,M,N,Late afternoon,"T. Peake, GSAF",2004,Jun
Unprovoked,USA,Florida,Swimming,M,N,18h00,"T. Jerome, GSAF; Daytona Beach News Journal,, 6/11/2004, p.1C",2004,Jun
Unprovoked,SOUTH AFRICA,Western Cape Province,"Swimming, poaching perlemoen",M,Y,15h00,"J. Smetherham & B. Ndenze, Cape Times",2004,Jun
Unprovoked,USA,Texas,Wading,M,N,19h45,J. David,2004,May
Unprovoked,BRAZIL,Pernambuco,Swimming,M,N,14h30,"P. M. Lopes, GSAF; JC, 5/24/2004",2004,May
Unprovoked,USA,California,Surfing,M,N,11h00,"R. Collier, GSAF; B. Connor, Jr.",2004,May
Unprovoked,USA,Florida,Boogie-boarding / swimming,M,N,12h30,News4Jax,2004,May
Unprovoked,USA,Florida,,F,N,Afternoon,First Coast News,2004,May
Unprovoked,BRAZIL,Pernambuco,Wading,F,N,16h00,"P.M. Lopes, GSAF, JC, 5/23/2004",2004,May
Provoked,BAHAMAS,Abaco Islands,Free diving & spearfishing,M,N,15h00,"W. Leander, M. Levine, GSAF",2004,May
Unprovoked,USA,Texas,Tandem surfing,M,N,16h30,G. Gore & M. Sturdevant,2004,May
Unprovoked,BRAZIL,Pernambuco,Swimming,M,Y,Afternoon,"JCOnline, 5/2/2004",2004,May
Unprovoked,AUSTRALIA,New South Wales,Diving,M,N,Morning,"T. Peake, GSAF",2004,Apr
Unprovoked, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,Y,,"New Zealand Herald, 4/15/2004",2004,Apr
Invalid, TONGA,Nuku'alofa,Five men on makeshift raft after their 10 m fishing boat  capsized and sank in rough seas. Survivors rescued after  7.5 hours in the water,M,Y,,"New Zealand Herald, 4/15/2004",2004,Apr
Unprovoked,USA,Hawaii,Surfing,M,Y,07h08,"L. Fujimoto, B. Perry & M. Tanji, Maui News ",2004,Apr
Unprovoked,SOUTH AFRICA,Western Cape Province,Surfing,M,N,14h00,"L. Compagno & E. Ritter, GSAF",2004,Apr
Unprovoked,USA,Florida,Surfing,M,N,09h00,"T. Jerome, GSAF; Palm Beach Post,  4/1/2004",2004,Mar
Unprovoked,BRAZIL,Pernambuco,Body boarding,M,N,07h30,"P.M. Lopes, GSAF; Diaro, 3/30/2004",2004,Mar
Unprovoked,USA,Florida,Surfing,M,N,15h00,"J.D. Gallop, Florida Today",2004,Mar
Unprovoked,REUNION,Saint-Benoît,Surfing,M,N,17h00 or 17h40,"Clicanoo, le journal  de l'Ile de la Réunion",2004,Mar
Unprovoked,USA,Florida,Swimming,M,N,08h30,"T. Jerome, GSAF",2004,Mar
Unprovoked,USA,Hawaii,Snorkeling,F,N,10h00,Hawaii Department of Land and Natural Resources,2004,Mar
Unprovoked,NEW ZEALAND,North Island,Spearfishing,M,N,12h30,J. Edgar,2004,Mar
Unprovoked,USA,Hawaii,Surfing,M,N,07h45,The Hawaii Channel,2004,Mar
Unprovoked,AUSTRALIA,Western Australia,Spearfishing,M,N,,"T. Peake, GSAF; Sunday Times (Perth) 3/7/2004, p.19",2004,Mar
Unprovoked,BRAZIL,Pernambuco,Swimming,M,Y,15h00,"P. M. Lopez, GSAF; Northern Territory News, 3/2/2004, p.11",2004,Feb
Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Surfing,M,N,19h00,"R.D. Weeks, GSAF; NZ Herald",2004,Feb
Unprovoked,AUSTRALIA,New South Wales,Swimming,M,N,,Manning River Times,2004,Feb
Invalid,AUSTRALIA,Queensland,Free diving & spearfishing,M,,11h00,"news.com.au; Northern Territory News, 2/18/2004, p.10; Sunday Territorian, 2/22/2004, p.9; ",2004,Feb
Unprovoked,AUSTRALIA,New South Wales,Snorkeling,M,N,,"T. Peake, GSAF",2004,Feb
Unprovoked,AUSTRALIA,Western Australia,Scuba diving,M,N,11h05,"T. Peake, GSAF",2004,Jan
Unprovoked,URUGUAY,Rocha,Surfing,M,N,,C.M. Prigioni el al,2004,Jan
Unprovoked,VENEZUELA,Anzoategui,Swimming,M,N,14h30,"D. Ramierez, GSAF       ",2004,Jan
Unprovoked,VENEZUELA,Anzoategui,Spearfishing,M,N,11h00,"D. Ramierez, GSAF       ",2004,Jan
Boating,SOUTH AFRICA,KwaZulu-Natal,Surf skiing,M,N,,surfski.co.nz,2004,Jan
Unprovoked,AUSTRALIA,New South Wales,Diving,M,N,Midday,"T. Peake, GSAF",2004,Jan
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Surfing,M,N,,"A. Cobb & E. Ritter, GSAF",2004,Jan
Invalid,NEW ZEALAND,North Island,Kayaking (returning from spearfishing),M,,Afternoon,"R.D. Weeks, GSAF; Waikto Times, 1/4/2004 ",2004,Jan
Sea Disaster,EGYPT,Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,Y,03h00,"Scotsman, 1/4/2004",2004,Jan
Unprovoked,AUSTRALIA,Western Australia,Surfing,M,N,Morning,J. Carlsen,2004,
Unprovoked,USA,Florida,Swimming,M,N,13h15,"Florida Today (Melbourne), 12/14/2003",2003,Dec
Unprovoked,NEW ZEALAND,Cook Islands,Swimming / shipwreck,M,Y,Night,R. Weeks; Cook Islands Government News Release,2003,Dec
Unprovoked,AUSTRALIA,Victoria,Surfing amid a shoal of sharks,M,N,09h30,"J. Eager, scubaradio.com",2003,Dec
Unprovoked,AUSTRALIA,Western Australia,Swimming,M,N,11h30,"J. Eager, scubaradio.com",2003,Nov
Unprovoked,AUSTRALIA,Western Australia,Swimming,M,N,11h30,"J. Eager, scubaradio.com",2003,Nov
Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Spearfishing,M,Y,>08h00,"E. Ritter, GSAF",2003,Nov
Unprovoked,USA,Florida,Surfing,F,N,15h30,T. Trumbauer,2003,Nov
Unprovoked,INDIA,Tamil Nadu,Swimming or surfing,M,N,," P.C.V. Kumar; A. Patil, GSAF   ",2003,Nov
Unprovoked,USA,Florida,Surfing,M,N,,"S. Petersohn, GSAF",2003,Nov
Unprovoked,EGYPT,Sinai Peninsula,Snorkeling,M,N,,N. Pankratov,2003,Nov
Unprovoked,AUSTRALIA,New South Wales,Standing,M,N,Dusk,"The Sun; 11/2/2003, p.9",2003,Nov
Provoked,PANAMA,Pearl Islands,Spearfishing,M,N,,"J. Eager, scubaradio.com",2003,Nov
Unprovoked,USA,Florida,Surfing,M,N,15h00,"D. Dixon, Florida Times-Union, 11/8/2003 ",2003,Oct
Unprovoked,AUSTRALIA,New South Wales,Surfing,M,N,17h30,ABC News Australia,2003,Oct
Unprovoked,USA,Hawaii,Surfing,F,N,07h30," E. Ritter, GSAF  ",2003,Oct
Unprovoked,USA,Florida,Surfing,M,N,12h20,"S. Petersohn, GSAF",2003,Oct
Invalid,USA,Hawaii,Snorkeling,M,,12h20,"Timothy Hurley, Advertiser Maui County Bureau",2003,Oct
Unprovoked,USA,Florida,Surfing,M,N,--,WFTV.com,2003,Oct
Invalid,USA,Florida,Swimming to shore from boat or kayak,M,Y,--,"E. Pace, FSAF",2003,Oct
Unprovoked,USA,Florida,Surfing,F,N,15h00,"J. Eager, scubaradio.com",2003,Oct
Unprovoked,USA,Florida,Surfing,M,N,14h30,"Vero Beach Press Journal (FL) 10/6/2003;  Stuart News, 10/6/2003",2003,Oct
Provoked,USA,Florida,Surfing,M,N,14h00,"S. Petersohn, GSAF",2003,Oct
Unprovoked,USA,Florida,Sitting on surfboard,M,N,12h02,"S. Petersohn, GSAF; J. Eager, scubaradio.com",2003,Oct
Unprovoked,USA,Hawaii,Wading near a fishing net,F,N,12h55,"G. Kubota, Star Bulletin",2003,Oct
Unprovoked,FIJI,Taveuni,Wading to shore from his boat,M,Y,Night,"R. Weeks, GSAF; Fiji Times, 10/2/2003; Fiji TV",2003,Sep
Unprovoked,USA,Florida,Surfing,M,N,07h45,"7News Online;  Vero Beach Press Journal, Fort Pierce Tribune, Stuart News, 10/1/2003",2003,Sep
Unprovoked,USA,Florida,Surfing,M,N,11h45,"S. Petersohn, GSAF; Daytona Beach News Journal, 9/22/2003, p.1C",2003,Sep
Unprovoked,USA,Florida,Surfing,M,N,16h30,"S. Petersohn, GSAF",2003,Sep
Unprovoked,USA,Florida,Surfing,M,N,14h00,"S. Petersohn, GSAF",2003,Sep
Unprovoked,USA,Florida,Surfing,M,N,16h14,"S. Petersohn, GSAF",2003,Sep
Boat,SOUTH AFRICA,Western Cape Province,Fishing ,,N,09h40,"E. Ritter, GSAF ",2003,Sep
Invalid,USA,Florida,Swimming,F,,13h30,"Fort Pierce Tribune, 9/15/2003",2003,Sep
Unprovoked,USA,Florida,Body boarding,M,N,17h11,"S. Petersohn, GSAF; News Journal Online; Orlando Sentinel, 9/15/2003, p.B2; R. Weiss, Daytona Beach News Journal, 9/15/2001, p.3C",2003,Sep
Unprovoked,USA,South Carolina,"Standing, stepped on shark",M,N,Afternoon,"P. Caston, Post & Courier",2003,Sep
Unprovoked,SOUTH AFRICA,Western Cape Province,Body boarding,M,Y,14h30,"E. Ritter, GSAF;      http://www.wavescape.co.za/top_bar/locals_only9.htm                               ",2003,Sep
Unprovoked,USA,Florida,Wade-fishing,M,N,,"B. Stout, News-Press, 9/24/2003",2003,Sep
Provoked,USA,Texas,Fishing,M,N,12h20,http://www.dfw.com/mld/startelegram/news/state/6656592.htm?1c,2003,Aug
Unprovoked,USA,California,"Swimming, wearing black wetsuit & swim fins",F,Y,08h15,"R. Collier, GSAF                ",2003,Aug
Invalid,USA,California,Swimming,M,,00h30,ABC News,2003,Aug
Unprovoked,SOUTH AFRICA,Eastern Cape Province,Sitting on surfboard,M,N,08h00,"E. Ritter, GSAF  http://sport.iafrica.com/news/261271.htm       ",2003,Aug
Unprovoked,AUSTRALIA,Northern Territory,Surf skiing,M,N,,"Northern Territory News, 7/26/2003, p.1",2003,Jul
Unprovoked,USA,Florida,Surfing,M,N,15h45,"S. Petersohn, GSAF",2003,Jul
Unprovoked,USA,Florida,Wading,F,N,14h37,"S. Petersohn, GSAF",2003,Jul
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,N,14h30,"M. Levine, GSAF; Associated Press, 7/12/03",2003,Jul
Provoked,USA,Florida,"Walking, carrying surfboard & stepped on shark",M,N,10h07,"S. Petersohn, GSAF",2003,Jul
Unprovoked,USA,Florida,Surfing,M,N,,Vero Beach Press Journal (FL) 7/9/2003,2003,Jul
Unprovoked,BAHAMAS,Abaco Islands,Spearfishing,M,N,14h45,"Associated Press, 7/12/03; Palm Beach Post, 7/7/2003 ",2003,Jul
Unprovoked,USA,Florida,Spearfishing,M,N,,M. Marks,2003,Jul
Unprovoked,FRENCH POLYNESIA,Society Islands,Spearfishing,M,N,,Noonsite.com,2003,Jul
Unprovoked,NEW ZEALAND,Cook Islands,Snorkeling,M,N,,R. & J. Zorro; Noonsite.com,2003,Jul
Unprovoked,USA,Florida,Surfing,M,N,13h53,"S. Petersohn, GSAF",2003,Jun
Unprovoked,USA,Florida,Surfing,M,N,Morning,Local6.com,2003,Jun
Unprovoked,USA,Florida,Standing,F,N,Afternoon,"Florida Today, 6/26/ 2003; WKMG Local 6",2003,Jun
Unprovoked,USA,Hawaii,Swimming with pod of dolphins,M,N,08h00,Honolulu Advertiser,2003,Jun
Unprovoked,USA,Johnston Atoll,Swimming,M,N,Afternoon,"H. Edwards, GSAF; The Hawaai Channel",2003,Jun
Unprovoked,USA,North Carolina,Surfing ,M,N,Late afternoon,"C. Creswell, GSAF",2003,Jun
Unprovoked,USA,Florida,Surfing,,N,11h55,"S. Petersohn, GSAF",2003,Jun
Unprovoked,USA,Florida,Surfing,M,N,10h00,Local 6 News,2003,May
Unprovoked,USA,Florida,Wading,M,N,13h23,"S. Petersohn, GSAF; Orlando Sentinel, 5/16;2003, p.C3",2003,May
Unprovoked,USA,Hawaii,Swimming,M,N,11h45,WestHawaiiToday.com,2003,May
