Year,Type,Country,Area,Activity,Sex,Time,Investigator or Source,Month,Fatal
2006,Unprovoked,USA,South Carolina,Board involved activity,F,Morning,"C. Creswell, GSAF",Jul ,N
2006,Unprovoked,USA,Florida,Swimming related,M,Afternoon,Orlando Sentinel,Jul ,N
2006,Unprovoked,USA,Florida,Fishing related,F,,"Swimming World Magazine, 2 July 2006",Jul ,N
2006,Unprovoked,USA,Florida,Fishing related,M,,"Swimming World Magazine, 2 July 2006",Jul ,N
2006,Unprovoked,USA,Florida,Board involved activity,F,Morning, P. Immerz,Jun ,N
2006,Provoked,USA,Florida,Fishing related,M,Afternoon,"News Press, 6/27/2006",Jun ,N
2006,Unprovoked,BAHAMAS,Andros Islands,Fishing related,M,Afternoon,"A. Brenneka; Nassau Guardian, 6/30/2006",Jun ,N
2006,Unprovoked,USA,Florida,Board involved activity,F,Afternoon," S. Petersohn, GSAF; P. Immerz",Jun ,N
2006,Unprovoked,BRAZIL,Pernambuco,Board involved activity,M,Morning,globalsurfnews.com,Jun ,Y
2006,Unprovoked,USA,California,Diving activities,M,Morning,R. Collier,Jun ,N
2006,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"S. Petersohn, GSAF",Jun ,N
2006,Unprovoked,USA,South Carolina,Beach activities,F,Afternoon,"C. Creswell, GSAF; Islandpacket.com, 6/7/2006",Jun ,N
2006,Unprovoked,AUSTRALIA,South Australia,Board involved activity,M,Morning,"P.Kemp, GSAF; Sunday Mail (Adelaide), 6/11/2006, p.17",Jun ,N
2006,Unprovoked,USA,Hawaii,Fishing related,M,Afternoon,"P. Immerz; Honolulu Advertiser, 6/1/2006",May ,N
2006,Provoked,USA,Hawaii,Consequence of handeling sharks,,Afternoon,"Honolulu Advertiser, 5/29/2006",May ,N
2006,Unprovoked,USA,Hawaii,Board involved activity,M,Afternoon,R. Collier,May ,N
2006,Provoked,USA,Hawaii,Fishing related,M,Afternoon,"Maui News, 5/26/2006",May ,N
2006,Unprovoked,BRAZIL,Pernambuco,Board involved activity,M,Morning,"Avisa Nordland, 5/22/2006",May ,N
2006,Unprovoked,USA,Guam,Diving activities,F,Afternoon,R. Segal,May ,N
2006,Unprovoked,USA,Florida,,M,Afternoon,"Florida Today, 5/10/2006",May ,N
2006,Unprovoked,USA,Florida,Swimming related,F,Afternoon,"TCPalm.com, 5/4/2006 ",May ,N
2006,Provoked,AUSTRALIA,Queensland,Diving activities,M,Afternoon,"Sunshine Coast Daily, 5/4/2006",May ,N
2006,Unprovoked,USA,Florida,Board involved activity,M,,Local 6 News,Apr ,N
2006,Unprovoked,USA,Florida,Standing,F,Afternoon,"Orlando Sentinel, 4/20/2006; Yahoo News;  S. Petersohn",Apr ,N
2006,Provoked,USA,Florida,Fishing related,M,Afternoon,"Naples News, 4/13/2006",Apr ,N
2006,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Afternoon,"Daily Telegraph, 4/12/2006",Apr ,N
2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Afternoon,J. Visser,Apr ,N
2006,Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Afternoon,"Diario de Pernambuco, 4/10/2006",Apr ,N
2006,Unprovoked,USA,Florida,Beach activities,M,Afternoon,CBS Broadcasting,Apr ,N
2006,Unprovoked,Sierra Leone,Western Area,Fishing related,M,,Reuters,Mar ,Y
2006,Unprovoked,USA,Hawaii,Board involved activity,F,Morning,Honolulu Advertiser,Mar ,N
2006,Unprovoked,FIJI,Vitu Levu,Board involved activity,M,Random or not clear time references,"R.D. Weeks, GSAF; Fiji Sun, 3/19/2006",Mar ,N
2006,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Afternoon,"The Australian, 3/15/2006",Mar ,N
2006,Unprovoked,USA,Hawaii,Standing,F,Afternoon,"G.T. Kubota, Star Bulletin, 2/28/2006",Feb ,N
2006,Invalid,USA,Hawaii,Diving activities,M,Afternoon,http://www.kesq.com,Feb ,
2006,Unprovoked,AUSTRALIA,Queensland,Beach activities,M,Morning,"G. Stolz, Courier-Mail, 2/14/2006",Feb ,N
2006,Unprovoked,AUSTRALIA,Queensland,Swimming related,M,,"G. Stolz, Courier-Mail, 2/14/2006",Feb ,N
2006,Boating,AUSTRALIA,South Australia,Fishing related,M,Afternoon,Port Adelaide Football Club,Feb ,N
2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Afternoon,"M. Kabeli, Dispatch Online.com; G. Brett & K. Cole, EL Museum",Feb ,N
2006,Unprovoked,TONGA,Vava'u,Swimming related,F,Random or not clear time references,D. Clem; www.matangitonga.to,Feb ,Y
2006,Boating,USA,Hawaii,Board involved activity,M,Afternoon,"R. Collier, GSAF; Honolulu Advertiser, 2/1/2006",Feb ,N
2006,Boating,ATLANTIC OCEAN,300 miles from Antigua,Competing in the Woodvale Atlantic Rowing Race,M,,"N. Bevan, icwales.icnetwork.co.uk, 1/28/2006",Jan ,N
2006,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Fishing related,M,Afternoon,"Geremy Cliff, NSB",Jan ,N
2006,Boating,ATLANTIC OCEAN,800 miles from land,Competing in the Woodvale Atlantic Rowing Race,F,,"Northants News, 1/25/2006",Jan ,N
2006,Unprovoked,USA,California,Board involved activity,M,Nightime,R. Collier,Jan ,N
2006,Unprovoked,AUSTRALIA,Western Australia,Diving activities,M,Morning,"T. Peake, GSAF",Jan ,N
2006,Invalid,BAHAMAS,Grand Bahama Island,Diving activities,M,Morning,"Bahama Journal, 1/13/2006",Jan ,
2006,Unprovoked,AUSTRALIA,Queensland,Swimming related,F,Afternoon,"T. Peake, GSAF",Jan ,Y
2006,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"A. Neal, scripps.com",Jan ,N
2006,Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing related,M,,"J.P. Botha, GSAF",Jan ,N
2005,Unprovoked,USA,Oregon,Board involved activity,M,Afternoon,"R. Collier, GSAF; L.A. Times, 12/25/2005",Dec ,N
2005,Unprovoked,USA,Hawaii,Swimming related,M,Morning, San Francisco Gate 2/21/2005,Dec ,N
2005,Boating,ATLANTIC OCEAN,600 nm west of the Canary Islands,Competing in the Woodvale Atlantic Rowing Race,,Afternoon,"R.D. Weeks, GSAF; NZ Herald, 12/21/2005",Dec ,N
2005,Unprovoked,AUSTRALIA,Queensland,Fishing related,M,Morning,"Courier-Mail, 12/12/2005",Dec ,N
2005,Boat,AUSTRALIA,South Australia,Fishing related,,Afternoon,"Melbourne Herald Sun, 12/5/2005",Dec ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,,wpmi.com,Nov ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"S. Petersohn, GSAF",Nov ,N
2005,Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,Random or not clear time references,"Sydney Morning Herald, 11/25/2005",Nov ,N
2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Morning,Dispatch online,Nov ,N
2005,Unprovoked,NEW CALEDONIA,Loyalty Islands,Fishing related,,Random or not clear time references,"Les Nouvelles Caledoniennes, 11/29/2005",Nov ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,Stuart News,Nov ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"S. Petersohn, GSAF",Nov ,N
2005,Provoked,SOUTH AFRICA,Eastern Cape Province,Fishing related,M,Afternoon,J. Visser,Nov ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"S. Petersohn, GSAF",Nov ,N
2005,Unprovoked,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Nov ,N
2005,Unprovoked,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF",Nov ,N
2005,Unprovoked,USA,Florida,Beach activities,M,,"Sentinel, 1-/30/2005",Oct ,N
2005,Unprovoked,ST. MAARTIN,Simpson Bay,Standing,M,Morning,"M. Levine, GSAF",Oct ,N
2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Morning,Cape Times,Oct ,N
2005,Unprovoked,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF",Oct ,N
2005,Unprovoked,USA,California,Board involved activity,F,Morning,"R. Collier, GSAF; Bay City Newswire",Oct ,N
2005,Provoked,USA,Florida,Beach activities,M,Afternoon,"S. Petersohn, GSAF; Florida Today, 10/16/2005 ",Oct ,N
2005,Unprovoked,USA,Hawaii,Board involved activity,M,Random or not clear time references,Hawaii Department of Land and Natural Resources,Oct ,N
2005,Unprovoked,GRAND CAYMAN,East Wall,Diving activities,F,Afternoon,"L.A.Hughes; G. Holt, Scubaradio.com",Oct ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"S. Petersohn, GSAF",Oct ,N
2005,Unprovoked,BAHAMAS,Abaco Islands,Diving activities,M,,"E. Ritter, GSAF; A. Armbrister, Freeport News, 10/3/2005",Oct ,N
2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Afternoon,"Cape Argus, Cape Times, 10/3/2005",Oct ,N
2005,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,,"Macleay Argues, 9/27/2005",Sep ,N
2005,Unprovoked,AUSTRALIA,South Australia,Board involved activity,M,Afternoon,"T. Peake, GSAF",Sep ,N
2005,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,"T. Peake, GSAF",Sep ,N
2005,Invalid,USA,Florida,Board involved activity,M,Morning,"A. Galabinski, Marco Island Sun Times, 9/22/2005",Sep ,
2005,Unprovoked,USA,South Carolina,Board involved activity,F,Afternoon,"C. Creswell, GSAF; K. Galliard,  Sun News, 9/21/2005",Sep ,N
2005,Unprovoked,USA,South Carolina,Board involved activity,M,Afternoon,"Post & Courier, 9/12/2005",Sep ,Y
2005,Unprovoked,AUSTRALIA,New South Wales,Standing,M,Random or not clear time references,"Sydney Morning Herald, 9/9/2005",Sep ,N
2005,Unprovoked,USA,North Carolina,Beach activities,F,Afternoon,"Clay Creswell, GSAF",Sep ,N
2005,Unprovoked,AUSTRALIA,South Australia,Board involved activity,M,Afternoon,"C.Jenkin, Courier-Mail, 9/5/2005",Sep ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Morning,"S. Petersohn, GSAF",Sep ,N
2005,Unprovoked,AUSTRALIA,South Australia,Diving activities,M,Morning,"Adelaide Advertiser, 8/26/2005",Aug ,Y
2005,Unprovoked,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF                ",Aug ,N
2005,Invalid,USA,South Carolina,Board involved activity,M,Afternoon,"Clay Creswell, GSAF",Aug ,
2005,Unprovoked,USA,South Carolina,Swimming related,M,Morning,"Clay Creswell, GSAF",Aug ,N
2005,Unprovoked,USA,Texas,Beach activities,M,Random or not clear time references,"Clay Creswell, GSAF; Houston Chronicle, 8/20/2005",Aug ,N
2005,Unprovoked,USA,North Carolina,Board involved activity,M,Morning,"C. Creswell, GSAF",Aug ,N
2005,Unprovoked,USA,South Carolina,Swimming related,M,Morning,"C. Creswell, GSAF",Aug ,N
2005,Unprovoked,USA,Florida,Beach activities,F,Random or not clear time references,"D. Salamone, GSAF",Jul ,N
2005,Unprovoked,USA,Florida,Board involved activity,M,Morning,"D. Salamone, GSAF",Jul ,N
2005,Invalid,USA,Florida,Board involved activity,M,Morning,"D. Salamone, GSAF",Jul ,
2005,Provoked,CHINA,Shanghai,Diving activities,M,,"Shanghai Star, 7/21/2005",Jul ,N
2005,Unprovoked,USA,North Carolina,Swimming related,M,Afternoon,"C. Creswell, GSAF",Jul ,N
2005,Unprovoked,USA,Texas,Holding onto an inflatable boat,F,Afternoon,"C. Creswell, GSAF",Jul ,N
2005,Unprovoked,USA,Florida,Standing,M,Morning,"E. Ritter, GSAF",Jul ,N
2005,Unprovoked,USA,Florida,Fishing related,M,Morning,"E. Ritter, GSAF",Jun ,N
2005,Unprovoked,USA,Florida,Swimming related,F,Morning,"E. Ritter, GSAF",Jun ,Y
2005,Unprovoked,VANUATU,Malampa Province,Swimming related,F,Afternoon,"R.D. Weeks, GSAF; New Zealand Herald, 6/23/2005",Jun ,Y
2005,Unprovoked,MEXICO ,Baja California,Board involved activity,M,Morning,http://www.signonsandiego.com/news/mexico/20050622-1621-mexico-sharkattack.html,Jun ,N
2005,Invalid,USA,Hawaii,Swimming related,M,Morning,www.mauinews.com,Jun ,
2005,Unprovoked,USA,Florida,Swimming related,M,Afternoon,Local6.com,Jun ,N
2005,Unprovoked,SOUTH KOREA,South Ch'ungch'ong Province,Diving activities,F,,"Korea Times, 6/13/2005 ",Jun ,N
2005,Unprovoked,USA,South Carolina,Board involved activity,F,Morning,"C. Creswell, GSAF;  N. Kenney, NewsChannel 19",Jun ,N
2005,Invalid,USA,New Jersey,Board involved activity,M,Morning,"Mr. Horton; R. Collier,  R. Fernicola; M. Levine, E. Ritter, GSAF ",Jun ,
2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Fishing related,M,Afternoon,News24.com; SABC; H. Steele,Jun ,Y
2005,Unprovoked,USA,Texas,Beach activities,M,Morning,KRIS6 News,Jun ,N
2005,Unprovoked,USA,Florida,Swimming related,M,Afternoon,"Daytona Beach News Journal, 5/29/2005; Orlando Sentinel, 5/30/2005, p.B3",May ,N
2005,Unprovoked,USA,Florida,Crouching in 2' of water,F,Random or not clear time references,"D.Wilhoit, The Ledger, 5/29/ 2005",May ,N
2005,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Morning,"C. Prince, East London Daily Dispatch, 5/26/2005;  SABC News",May ,N
2005,Unprovoked,AUSTRALIA,Queensland,Fishing related,M,,"J. Anderson, Townsville Bulletin, 5/21/2005 ",May ,N
2005,Boating,USA,Hawaii,Board involved activity,,Morning,Hawaii Department of Land and Natural Resources,May ,N
2005,Sea Disaster,USA,South Carolina,Sea Disaster,M,,"Gaffney Ledger, 5/2/2005",May ,N
2005,Unprovoked,USA,Hawaii,Board involved activity,M,Morning,"T. Hurley, Honolulu Advertiser; L. Fujimoto, Maui News, 5/3/2005 ",May ,N
2005,Provoked,AUSTRALIA,New South Wales,Fishing related,M,Nightime,"Brisbane Courier Mail, 4/26/2005",Apr ,N
2005,Unprovoked,AUSTRALIA,Northern Territory,Fishing related,M,,"G. McLean, Northern Territory News; Sunday Territorian, 4/17/2005, p.6",Apr ,N
2005,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Morning,The Sun; Illwarra Mercury; Yahoo News,Apr ,N
2005,Unprovoked,USA,Florida,Beach activities,F,,Herald Tribune.com,Apr ,N
2005,Unprovoked,USA,Texas,Board involved activity,M,Random or not clear time references,"G. Ferrario; J. Mendoza, Cameron County Parks; The Herald (Brownsville),  4/11/2005",Apr ,N
2005,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Morning,"ITN, 3/30/2005",Mar ,N
2005,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,,"Sunday Age, 3/27/2005",Mar ,N
2005,Unprovoked,VENEZUELA,,Board involved activity,M,Afternoon,"A. Brenneka, GSAF",Mar ,N
2005,Unprovoked,AUSTRALIA,Western Australia,Diving activities,M,Afternoon,"T. Peake, GSAF",Mar ,Y
2005,Provoked,USA,New Mexico,Beach activities,M,Afternoon,"H. Casman; T. Dukart, KOBTV",Mar ,N
2005,Provoked,NEW ZEALAND,North Island,Fishing related,M,Afternoon,"R.D. Weeks, GSAF",Mar ,N
2005,Unprovoked,SOLOMON ISLANDS,Santa Isabel Province,Diving activities,M,,"Solomon Star, 3/9/2005",Mar ,N
2005,Unprovoked,AUSTRALIA,Queensland,Swimming related,M,,Queensland Times,Feb ,N
2005,Provoked,USA,Florida,Fishing related,M,,http://www.foldabikes.com/CurrentEvents/Story/Florida.html,Feb ,N
2005,Unprovoked,USA,Hawaii,Board involved activity,M,Afternoon," R. Collier, GSAF;  T. Winters, Honolulu Advertiser, 2/17/2005 ",Feb ,N
2005,Unprovoked,USA,Florida,Fishing related,M,,J. Herrera,Feb ,N
2005,Unprovoked,BRAZIL,Bahia,Board involved activity,M,,"Orlando Sentinel, 2/5/2005, p.A6",Feb ,N
2005,Unprovoked,CUBA,Santiago de Cuba Province,Swimming related,M,,Cuba News,Jan ,N
2005,Provoked,AUSTRALIA,Victoria,Fishing related,M,,Herald Sun News,Jan ,N
2005,Provoked,AUSTRALIA,Victoria,Consequence of handeling sharks,,Afternoon,Herald Sun News,Jan ,N
2005,Boating,NEW ZEALAND,North Island,Fishing related,M,Afternoon,"R. Collier & R.D. Weeks, GSAF                ",Jan ,N
2004,Unprovoked,AUSTRALIA,South Australia,Board involved activity,M,Afternoon,"P. Kemp & T. Peake, GSAF",Dec ,Y
2004,Unprovoked,AUSTRALIA,Queensland,Fishing related,M,Afternoon,"Weekend Australian, 2/17/2005, et al.",Dec ,Y
2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Random or not clear time references,J. Eager,Nov ,N
2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Beach activities,M,,J. Eager,Nov ,N
2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming related,F,Morning,"J.P. Botha, GSAF",Nov ,Y
2004,Unprovoked,USA,California,Board involved activity,,Afternoon,"R. Collier, GSAF                ",Nov ,N
2004,Unprovoked,VANUATU,Malampa Province,Diving activities,M,Morning,"R. Harris, M.D., T. Peake, GSAF",Nov ,N
2004,Unprovoked,CUBA,Camaguey Province,Diving activities,M,Afternoon,"E. Ritter, GSAF",Oct ,N
2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Consequence of handeling sharks,M,Morning,"J.P. Botha, GSAF",Oct ,N
2004,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Afternoon,"The Border Mail, 10/23/2004",Oct ,N
2004,Unprovoked,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF",Oct ,N
2004,Unprovoked,USA,Hawaii,Fishing related,M,Afternoon,"The Maui News, 10/10/2004 ",Oct ,N
2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,Morning,"Sunday Argus, 10/10/2004; W. Steenkamp, Cape Times 10/9/2004",Oct ,N
2004,Unprovoked,REUNION,Conservatória District,Board involved activity,M,Afternoon,Federation Francaise de Surf,Oct ,N
2004,Unprovoked,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Oct ,N
2004,Unprovoked,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Oct ,N
2004,Boat,AUSTRALIA,Queensland,Fishing related,,Afternoon,"R. Collier, GSAF",Sep ,N
2004,Unprovoked,USA,Oregon,Board involved activity,M,Morning,"S. Mead, R. Collier, J. Eager, B. Middleton",Sep ,N
2004,Invalid,USA,Texas,Board involved activity,M,Morning,M. Shields,Sep ,
2004,Unprovoked,USA,South Carolina ,Jumping,F,Afternoon,"C. Creswell, GSAF",Sep ,N
2004,Unprovoked,USA,Florida,Beach activities,F,Afternoon,"T. Jerome, GSAF; Daytona Beach News Journal, 8/31/2004",Aug ,N
2004,Unprovoked,BRAZIL,Pernambuco,Beach activities,M,Afternoon,"P. M. Lopes, GSAF, 8/22/2004",Aug ,N
2004,Unprovoked,USA,California,Board involved activity,M,Afternoon,"R. Collier, GSAF",Aug ,N
2004,Unprovoked,USA,California,Diving activities,M,Afternoon,"R. Collier & L. Levine, GSAF",Aug ,Y
2004,Unprovoked,USA,Florida,Swimming related,M,Random or not clear time references,"T. Jerome, GSAF",Aug ,N
2004,Unprovoked,AUSTRALIA,New South Wales,Fishing related,M,Afternoon,"T. Peake, GSAF",Aug ,N
2004,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,"C. Creswell, GSAF",Jul ,N
2004,Unprovoked,RUSSIA,Kuril Islands in the Pacific,Fishing related,M,,"M. Gozum & J. Eager, scubaradio.com",Jul ,N
2004,Unprovoked,USA,North Carolina,Board involved activity,F,Afternoon,"C.Delneo, C. Creswell, M. Levine, R. Collier, GSAF",Jul ,N
2004,Unprovoked,USA,North Carolina,Swimming related,F,Afternoon,"C. Creswell, GSAF",Jul ,N
2004,Unprovoked,USA,Texas,Swimming related,F,Afternoon,KETK56 News,Jul ,N
2004,Unprovoked,USA,Texas,Fishing related,M,Random or not clear time references,KRISTV.com,Jul ,N
2004,Unprovoked,JAPAN,Wakayama Prefecture,Board involved activity,M,,"Mainichi Shimbun, 7/17/2004 ",Jul ,N
2004,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,"T. Peake, GSAF",Jul ,Y
2004,Unprovoked,EGYPT,Sinai Peninsula,Diving activities,F,,"E. Ritter, GSAF; iwindsurf.co.uk",Jul ,N
2004,Unprovoked,USA,Alabama,Beach activities,M,Afternoon,"C. Creswell, GSAF",Jul ,N
2004,Unprovoked,USA,California,Board involved activity,M,Morning,R. Collier; GSAF,Jun ,N
2004,Unprovoked,USA,Florida,Diving activities,F,,Global Lifeguards,Jun ,N
2004,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Afternoon,"T. Peake, GSAF",Jun ,N
2004,Unprovoked,USA,Florida,Swimming related,M,Random or not clear time references,"T. Jerome, GSAF; Daytona Beach News Journal,, 6/11/2004, p.1C",Jun ,N
2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Swimming related,M,Afternoon,"J. Smetherham & B. Ndenze, Cape Times",Jun ,Y
2004,Unprovoked,USA,Texas,Beach activities,M,Random or not clear time references,J. David,May ,N
2004,Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Afternoon,"P. M. Lopes, GSAF; JC, 5/24/2004",May ,N
2004,Unprovoked,USA,California,Board involved activity,M,Morning,"R. Collier, GSAF; B. Connor, Jr.",May ,N
2004,Unprovoked,USA,Florida,Swimming related,M,Afternoon,News4Jax,May ,N
2004,Unprovoked,USA,Florida,,F,Afternoon,First Coast News,May ,N
2004,Unprovoked,BRAZIL,Pernambuco,Beach activities,F,Afternoon,"P.M. Lopes, GSAF, JC, 5/23/2004",May ,N
2004,Provoked,BAHAMAS,Abaco Islands,Fishing related,M,Afternoon,"W. Leander, M. Levine, GSAF",May ,N
2004,Unprovoked,USA,Texas,Board involved activity,M,Afternoon,G. Gore & M. Sturdevant,May ,N
2004,Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Afternoon,"JCOnline, 5/2/2004",May ,Y
2004,Unprovoked,AUSTRALIA,New South Wales,Diving activities,M,Morning,"T. Peake, GSAF",Apr ,N
2004,Unprovoked, TONGA,Nuku'alofa,Fishing related,M,,"New Zealand Herald, 4/15/2004",Apr ,Y
2004,Invalid, TONGA,Nuku'alofa,Fishing related,M,,"New Zealand Herald, 4/15/2004",Apr ,Y
2004,Unprovoked,USA,Hawaii,Board involved activity,M,Morning,"L. Fujimoto, B. Perry & M. Tanji, Maui News ",Apr ,Y
2004,Unprovoked,SOUTH AFRICA,Western Cape Province,Board involved activity,M,Afternoon,"L. Compagno & E. Ritter, GSAF",Apr ,N
2004,Unprovoked,USA,Florida,Board involved activity,M,Morning,"T. Jerome, GSAF; Palm Beach Post,  4/1/2004",Mar ,N
2004,Unprovoked,BRAZIL,Pernambuco,Board involved activity,M,Morning,"P.M. Lopes, GSAF; Diaro, 3/30/2004",Mar ,N
2004,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"J.D. Gallop, Florida Today",Mar ,N
2004,Unprovoked,REUNION,Saint-Benoît,Board involved activity,M,Afternoon,"Clicanoo, le journal  de l'Ile de la Réunion",Mar ,N
2004,Unprovoked,USA,Florida,Swimming related,M,Morning,"T. Jerome, GSAF",Mar ,N
2004,Unprovoked,USA,Hawaii,Diving activities,F,Morning,Hawaii Department of Land and Natural Resources,Mar ,N
2004,Unprovoked,NEW ZEALAND,North Island,Fishing related,M,Afternoon,J. Edgar,Mar ,N
2004,Unprovoked,USA,Hawaii,Board involved activity,M,Morning,The Hawaii Channel,Mar ,N
2004,Unprovoked,AUSTRALIA,Western Australia,Fishing related,M,,"T. Peake, GSAF; Sunday Times (Perth) 3/7/2004, p.19",Mar ,N
2004,Unprovoked,BRAZIL,Pernambuco,Swimming related,M,Afternoon,"P. M. Lopez, GSAF; Northern Territory News, 3/2/2004, p.11",Feb ,Y
2004,Unprovoked,NEW ZEALAND,"South Island, near Karitane north of Dunedin",Board involved activity,M,Random or not clear time references,"R.D. Weeks, GSAF; NZ Herald",Feb ,N
2004,Unprovoked,AUSTRALIA,New South Wales,Swimming related,M,,Manning River Times,Feb ,N
2004,Invalid,AUSTRALIA,Queensland,Fishing related,M,Morning,"news.com.au; Northern Territory News, 2/18/2004, p.10; Sunday Territorian, 2/22/2004, p.9; ",Feb ,
2004,Unprovoked,AUSTRALIA,New South Wales,Diving activities,M,,"T. Peake, GSAF",Feb ,N
2004,Unprovoked,AUSTRALIA,Western Australia,Diving activities,M,Morning,"T. Peake, GSAF",Jan ,N
2004,Unprovoked,URUGUAY,Rocha,Board involved activity,M,,C.M. Prigioni el al,Jan ,N
2004,Unprovoked,VENEZUELA,Anzoategui,Swimming related,M,Afternoon,"D. Ramierez, GSAF       ",Jan ,N
2004,Unprovoked,VENEZUELA,Anzoategui,Fishing related,M,Morning,"D. Ramierez, GSAF       ",Jan ,N
2004,Boating,SOUTH AFRICA,KwaZulu-Natal,Board involved activity,M,,surfski.co.nz,Jan ,N
2004,Unprovoked,AUSTRALIA,New South Wales,Diving activities,M,Afternoon,"T. Peake, GSAF",Jan ,N
2004,Unprovoked,SOUTH AFRICA,Eastern Cape Province,Board involved activity,M,,"A. Cobb & E. Ritter, GSAF",Jan ,N
2004,Invalid,NEW ZEALAND,North Island,Board involved activity,M,Afternoon,"R.D. Weeks, GSAF; Waikto Times, 1/4/2004 ",Jan ,
2004,Sea Disaster,EGYPT,Sinai Peninsula,Air disaster. Flash Airlines Boeing 737 crashed into the Red Sea,,Nightime,"Scotsman, 1/4/2004",Jan ,Y
2004,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Morning,J. Carlsen,,N
2003,Unprovoked,USA,Florida,Swimming related,M,Afternoon,"Florida Today (Melbourne), 12/14/2003",Dec ,N
2003,Unprovoked,NEW ZEALAND,Cook Islands,Swimming related,M,Nightime,R. Weeks; Cook Islands Government News Release,Dec ,Y
2003,Unprovoked,AUSTRALIA,Victoria,Board involved activity,M,Morning,"J. Eager, scubaradio.com",Dec ,N
2003,Unprovoked,AUSTRALIA,Western Australia,Swimming related,M,Morning,"J. Eager, scubaradio.com",Nov ,N
2003,Unprovoked,AUSTRALIA,Western Australia,Swimming related,M,Morning,"J. Eager, scubaradio.com",Nov ,N
2003,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Fishing related,M,Morning,"E. Ritter, GSAF",Nov ,Y
2003,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,T. Trumbauer,Nov ,N
2003,Unprovoked,INDIA,Tamil Nadu,Swimming related,M,," P.C.V. Kumar; A. Patil, GSAF   ",Nov ,N
2003,Unprovoked,USA,Florida,Board involved activity,M,,"S. Petersohn, GSAF",Nov ,N
2003,Unprovoked,EGYPT,Sinai Peninsula,Diving activities,M,,N. Pankratov,Nov ,N
2003,Unprovoked,AUSTRALIA,New South Wales,Standing,M,Random or not clear time references,"The Sun; 11/2/2003, p.9",Nov ,N
2003,Provoked,PANAMA,Pearl Islands,Fishing related,M,,"J. Eager, scubaradio.com",Nov ,N
2003,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"D. Dixon, Florida Times-Union, 11/8/2003 ",Oct ,N
2003,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Afternoon,ABC News Australia,Oct ,N
2003,Unprovoked,USA,Hawaii,Board involved activity,F,Morning," E. Ritter, GSAF  ",Oct ,N
