Year,Type,Country,Area,Activity,Sex,Time,Investigator or Source,Month,Fatal
2017,Unprovoked,COSTA RICA,Cocos Island,Diving activities,F,,R. Arauz,Nov ,Y
2017,Unprovoked,USA,California,Fishing related,M,Afternoon,"R. Collier, GSAF",Nov ,N
2017,Unprovoked,USA,Florida,Board involved activity,F,Afternoon,"Florida Today, 11/21/2017",Nov ,N
2017,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Afternoon,"B. Myatt, GSAF",Nov ,N
2017,Unprovoked,CUBA,Holquin Province,Beach activities,M,Nightime,TrackingSharks.com,Nov ,Y
2017,Unprovoked,AUSTRALIA,Queensland,Diving activities,M,,"Townsville Bulletin, 10/31/2017",Oct ,N
2017,Unprovoked,AUSTRALIA,New South Wales,Board involved activity,M,Morning,"B. Myatt, GSAF",Oct ,N
2017,Unprovoked,USA,Hawaii,Board involved activity,M,Afternoon,"Hawaii News Now, 10/27/2017",Oct ,N
2017,Unprovoked,MAURITIUS,Pamplemousses ,Swimming related,M,Afternoon,"J. LeBlanc, GSAF",Oct ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Afternoon,"WPBF News, 10/24/2017",Oct ,N
2017,Unprovoked,USA,Florida,Swimming related,F,Morning,"Palm Beach Post, 11/1/2017",Oct ,N
2017,Unprovoked,AUSTRALIA,South Australia,Board involved activity,F,Afternoon,"Nine News, 10/22/2017",Oct ,N
2017,Unprovoked,NEW ZEALAND,North Island,Board involved activity,M,Morning,"New Zealand Herald, 10/22/2017",Oct ,N
2017,Unprovoked,USA,Florida,Swimming related,M,Afternoon,"WPTV, 10/19/2017",Oct ,N
2017,Unprovoked,USA,Hawaii,Board involved activity,M,Random or not clear time references,"Hawaii News Now, 10/10/2017",Oct ,N
2017,Unprovoked,USA,Hawaii,Diving activities,F,Afternoon,"Maui Now, 10/5/2017",Oct ,N
2017,Unprovoked,USA,Florida,Board involved activity,M,Morning,"News4Jax, 9/26/2017",Sep ,N
2017,Unprovoked,AUSTRALIA,Western Australia,Board involved activity,M,Random or not clear time references,"Stab Magazine, 9/26/2017",Sep ,N
